,Company Names,Cars Names,Engines,HorsePower,Fuel Types,Seats,Torque,Price,Speed,Acceleration,Battery Capacity
960,Acura,TLX V6 Advance,V6,290.0,petrol,5,362.0,46000.0,250.0,5.7,3500.0
961,Acura,NSX Carbon Edition,Twin-Turbo V6 Hybrid,537.0,hybrid,2,666.0,157000.0,307.0,2.9,3493.0
962,Acura,RDX Turbo SH-AWD,Turbocharged I4,272.0,petrol,5,400.0,42000.0,210.0,6.6,1500.0
963,Acura,ILX Technology Plus,Inline-4,201.0,petrol,5,180.0,28000.0,200.0,6.6,2400.0
964,Acura,TLX Type S PMC Edition,Turbocharged V6,355.0,petrol,5,480.0,54000.0,250.0,5.1,3000.0
965,Acura,MDX Sport Hybrid,V6 Hybrid,321.0,hybrid,7,335.0,52000.0,190.0,6.0,3500.0
966,Peugeot,208,Inline-4,82.0,petrol,5,160.0,22000.0,180.0,10.5,1199.0
967,Peugeot,2008,Inline-4,100.0,petrol,5,205.0,25000.0,190.0,9.0,1199.0
968,Peugeot,301,Inline-4,115.0,petrol,5,150.0,23500.0,185.0,10.0,1598.0
969,Peugeot,308,Inline-4,130.0,petrol,5,230.0,28000.0,200.0,8.0,1598.0
970,Peugeot,3008,Inline-4,180.0,petrol,5,400.0,32000.0,210.0,7.5,1598.0
971,Peugeot,5008,Inline-4,165.0,diesel,7,400.0,35000.0,200.0,9.5,1998.0
972,Peugeot,508,Inline-4,180.0,petrol,5,300.0,35500.0,235.0,8.0,1998.0
973,Peugeot,Partner,Diesel I4,75.0,diesel,5,200.0,22500.0,160.0,12.0,1560.0
974,Peugeot,Expert,Diesel I4,120.0,diesel,3,300.0,30000.0,180.0,10.0,1997.0
975,Peugeot,Boxer,Diesel I4,140.0,diesel,3,340.0,32000.0,160.0,11.0,2200.0
976,Peugeot,e-208,Electric Motor,136.0,electric,5,260.0,35000.0,150.0,8.1,50.0
977,Peugeot,e-2008,Electric Motor,136.0,electric,5,260.0,38000.0,150.0,8.5,50.0
978,Peugeot,208 GTI,Inline-4,208.0,petrol,5,300.0,28000.0,230.0,6.5,1598.0
979,Peugeot,308 GTI,Inline-4,270.0,petrol,5,330.0,35000.0,250.0,6.0,1598.0
980,Peugeot,508 PSE (Peugeot Sport Engineered),Hybrid I4,360.0,hybrid,5,520.0,55000.0,250.0,5.2,1598.0
981,Peugeot,308 Allure,Inline-4,130.0,petrol,5,230.0,25000.0,205.0,9.3,1199.0
982,Peugeot,2008 Allure,Inline-4,130.0,petrol,5,230.0,27000.0,200.0,9.7,1199.0
983,Peugeot,3008 Allure,Inline-4,180.0,petrol,5,250.0,30000.0,210.0,8.0,1499.0
984,Peugeot,5008 Allure,Inline-4,180.0,petrol,7,250.0,33000.0,200.0,8.5,1499.0
985,Peugeot,508 Allure,Inline-4,180.0,petrol,5,250.0,35000.0,225.0,8.0,1499.0
986,Peugeot,3008 GT,Inline-4,200.0,petrol,5,280.0,35000.0,220.0,7.5,1598.0
987,Peugeot,508 GT,Inline-4,225.0,petrol,5,300.0,40000.0,235.0,6.8,1598.0
988,Peugeot,3008 GT Hybrid,Hybrid I4,300.0,hybrid,5,400.0,45000.0,235.0,6.0,1598.0
989,Peugeot,5008 GT Hybrid,Hybrid I4,300.0,hybrid,7,400.0,48000.0,210.0,6.5,1598.0
990,Peugeot,208 Allure Premium,Inline-4,130.0,petrol,5,230.0,28000.0,200.0,9.5,1199.0
991,Peugeot,Partner Tepee,Inline-4,100.0,diesel,5,260.0,25000.0,170.0,12.0,1560.0
992,Peugeot,Expert L2H1,Inline-4,120.0,diesel,3,320.0,30000.0,160.0,13.0,1997.0
993,Peugeot,Boxer L2H2,Inline-4,130.0,diesel,3,350.0,35000.0,140.0,14.0,2200.0
994,Peugeot,Partner Electric,Electric Motor,136.0,electric,5,260.0,40000.0,130.0,9.0,
995,Peugeot,Expert Electric,Electric Motor,136.0,electric,5,260.0,45000.0,130.0,9.5,
996,Peugeot,208 PSE (Peugeot Sport Engineered),Hybrid I4,225.0,hybrid,5,360.0,45000.0,250.0,5.5,1598.0
997,Peugeot,308 PSE,Hybrid I4,360.0,hybrid,5,520.0,55000.0,250.0,5.0,1598.0
998,Peugeot,508 PSE,Hybrid I4,360.0,hybrid,5,520.0,60000.0,250.0,5.2,1598.0
999,Peugeot,3008 PSE,Hybrid I4,300.0,hybrid,5,400.0,50000.0,235.0,6.0,1598.0
1000,Peugeot,2008 Active,Inline-4,100.0,petrol,5,205.0,22000.0,190.0,11.2,1199.0
1001,Peugeot,3008 Active,Inline-4,130.0,petrol,5,240.0,30000.0,200.0,10.0,1499.0
1002,Peugeot,5008 Active,Inline-4,130.0,petrol,7,240.0,33000.0,190.0,10.5,1499.0
1003,Peugeot,3008 Allure Premium,Inline-4,130.0,petrol,5,240.0,32000.0,200.0,9.8,1499.0
1004,Peugeot,5008 Allure Premium,Inline-4,130.0,petrol,7,240.0,35000.0,190.0,10.2,1499.0
1005,Peugeot,3008 GT Line,Inline-4,180.0,petrol,5,250.0,35000.0,210.0,8.5,1598.0
1006,Peugeot,5008 GT Line,Inline-4,180.0,petrol,7,250.0,38000.0,200.0,9.0,1598.0
1007,Peugeot,2008 GT,Inline-4,130.0,petrol,5,230.0,25000.0,200.0,9.3,1199.0
1008,Peugeot,5008 GT,Inline-4,180.0,petrol,7,250.0,40000.0,210.0,8.2,1598.0
1009,Peugeot,508 SW (Station Wagon),Inline-4,180.0,petrol,5,300.0,35000.0,220.0,8.4,1598.0
1010,Peugeot,508 Saloon,Inline-4,180.0,petrol,5,300.0,37000.0,210.0,8.6,1598.0
1011,Peugeot,308 Saloon,Inline-4,130.0,petrol,5,230.0,28000.0,200.0,9.0,1199.0
1012,Peugeot,301 Sedan,Inline-4,82.0,petrol,5,115.0,20000.0,180.0,12.0,1199.0
1013,Peugeot,208 Sedan,Inline-4,100.0,petrol,5,205.0,22000.0,190.0,11.2,1199.0
1014,Ford,Fusion (Mondeo),1.5L EcoBoost / 2.0L Hybrid,160.0,hybrid,5,200.0,32500.0,220.0,7.5,1500.0
1015,Ford,Taurus,3.5L V6 / 2.0L EcoBoost,200.0,petrol,5,300.0,37500.0,220.0,6.5,2000.0
1016,Ford,Fiesta,1.0L EcoBoost / 1.5L,85.0,petrol,5,130.0,20000.0,200.0,7.0,1000.0
1017,Ford,Focus,1.0L EcoBoost / 1.5L / 2.0L,120.0,petrol,5,150.0,25000.0,220.0,6.5,1000.0
1018,Ford,KA+,1.2L Petrol,70.0,petrol,5,100.0,13500.0,165.0,10.5,1200.0
1019,Ford,EcoSport,1.0L Turbo Inline-3 / 2.0L,123.0,petrol,5,170.0,22500.0,180.0,9.0,1000.0
1020,Ford,Escape (Kuga),1.5L EcoBoost / 2.5L Hybrid,181.0,hybrid,5,230.0,31500.0,190.0,7.5,1500.0
1021,Ford,Edge,2.0L EcoBoost / 2.7L V6,250.0,petrol,5,400.0,40000.0,200.0,6.5,2000.0
1022,Ford,Explorer,2.3L EcoBoost / 3.0L V6,300.0,petrol,7,420.0,45000.0,200.0,6.0,2300.0
1023,Ford,Expedition,3.5L EcoBoost / 5.4L V8,375.0,petrol,8,650.0,62500.0,180.0,6.5,3500.0
1024,Ford,Bronco,2.3L EcoBoost / 2.7L V6,275.0,petrol,4,400.0,42500.0,200.0,7.5,2300.0
1025,Ford,Bronco Sport,1.5L EcoBoost / 2.0L EcoBoost,181.0,petrol,5,250.0,32000.0,185.0,7.0,1500.0
1026,Ford,F-150,3.3L V6 / 5.0L V8 / 3.5L EcoBoost,290.0,petrol & diesel,5,400.0,55000.0,200.0,5.0,3300.0
1027,Ford,F-250 Super Duty,6.2L V8 / 7.3L V8 / 6.7L Turbo-Diesel,385.0,petrol & diesel,5,700.0,55000.0,180.0,6.5,6200.0
1028,Ford,F-350 Super Duty,6.7L Turbo-Diesel / 7.3L V8,450.0,diesel,5,1.0,60000.0,180.0,7.0,6700.0
1029,Ford,Maverick,2.5L Hybrid / 2.0L EcoBoost,191.0,hybrid,5,250.0,26000.0,180.0,6.5,2500.0
1030,Ford,Ranger,2.3L Turbo Inline-4 / 2.7L V6,270.0,petrol & diesel,5,400.0,35000.0,180.0,6.0,2300.0
1031,Ford,Mustang Mach-E,Electric Motor,290.0,electric,5,430.0,52000.0,180.0,3.5,68.0
1032,Ford,F-150 Lightning,Electric Motor,452.0,electric,5,1051.0,65000.0,180.0,4.5,98.0
1033,Ford,Escape Hybrid,2.5L Inline-4 + Electric,200.0,hybrid,5,210.0,33000.0,180.0,7.7,2500.0
1034,Ford,Explorer Hybrid,3.3L V6 + Electric,318.0,hybrid,7,500.0,52500.0,180.0,7.5,3300.0
